Senaryo;SpinNo;Bahis;Odenen;CarpanDeger;Bonus;Kategori;SpinTipi
"0. Normal Oyun";1;100;0;0;False;Normal;Normal
"0. Normal Oyun";2;100;0;0;False;Normal;Normal
"0. Normal Oyun";3;100;0;0;False;Normal;Normal
"0. Normal Oyun";4;100;0;0;False;Normal;Normal
"0. Normal Oyun";5;100;30;0;False;Normal;Normal
"0. Normal Oyun";6;100;0;0;False;Normal;Normal
"0. Normal Oyun";7;100;0;0;False;Normal;Normal
"0. Normal Oyun";8;100;0;0;False;Normal;Normal
"0. Normal Oyun";9;100;0;0;False;Normal;Normal
"0. Normal Oyun";10;100;0;0;False;Normal;Normal
"0. Normal Oyun";11;100;0;0;False;Normal;Normal
"0. Normal Oyun";12;100;50;0;False;Normal;Normal
"0. Normal Oyun";13;100;0;0;False;Normal;Normal
"0. Normal Oyun";14;100;0;0;False;Normal;Normal
"0. Normal Oyun";15;100;0;0;False;Normal;Normal
"0. Normal Oyun";16;100;600;8;False;MegaWin;Normal
"0. Normal Oyun";17;100;0;0;False;Normal;Normal
"0. Normal Oyun";18;100;0;0;False;Normal;Normal
"0. Normal Oyun";19;100;0;0;False;Normal;Normal
"0. Normal Oyun";20;100;50;0;False;Normal;Normal
"0. Normal Oyun";21;100;50;0;False;Normal;Normal
"0. Normal Oyun";22;100;0;0;False;Normal;Normal
"0. Normal Oyun";23;100;0;0;False;Normal;Normal
"0. Normal Oyun";24;100;0;0;False;Normal;Normal
"0. Normal Oyun";25;100;110;0;False;Normal;Normal
"0. Normal Oyun";26;100;0;0;False;Normal;Normal
"0. Normal Oyun";27;100;0;0;False;Normal;Normal
"0. Normal Oyun";28;100;0;0;False;Normal;Normal
"0. Normal Oyun";29;100;0;0;False;Normal;Normal
"0. Normal Oyun";30;100;0;0;False;Normal;Normal
"0. Normal Oyun";31;100;0;0;False;Normal;Normal
"0. Normal Oyun";32;100;80;0;False;Normal;Normal
"0. Normal Oyun";33;100;0;0;False;Normal;Normal
"0. Normal Oyun";34;100;0;0;False;Normal;Normal
"0. Normal Oyun";35;100;0;0;False;Normal;Normal
"0. Normal Oyun";36;100;0;0;False;Normal;Normal
"0. Normal Oyun";37;100;0;0;False;Normal;Normal
"0. Normal Oyun";38;100;0;0;False;Normal;Normal
"0. Normal Oyun";39;100;120;0;False;Normal;Normal
"0. Normal Oyun";40;100;0;0;False;Normal;Normal
"0. Normal Oyun";41;100;0;0;False;Normal;Normal
"0. Normal Oyun";42;100;0;0;False;Normal;Normal
"0. Normal Oyun";43;100;0;0;False;Normal;Normal
"0. Normal Oyun";44;100;0;0;False;Normal;Normal
"0. Normal Oyun";45;100;0;0;False;Normal;Normal
"0. Normal Oyun";46;100;0;0;False;Normal;Normal
"0. Normal Oyun";47;100;210;0;False;BigWin;Normal
"0. Normal Oyun";48;100;0;0;False;Normal;Normal
"0. Normal Oyun";49;100;0;0;False;Normal;Normal
"0. Normal Oyun";50;100;40;0;False;Normal;Normal
"0. Normal Oyun";51;100;0;0;False;Normal;Normal
"0. Normal Oyun";52;100;1760;8;False;EpicWin;Normal
"0. Normal Oyun";53;100;0;0;False;Normal;Normal
"0. Normal Oyun";54;100;0;0;False;Normal;Normal
"0. Normal Oyun";55;100;0;0;False;Normal;Normal
"0. Normal Oyun";56;100;0;0;False;Normal;Normal
"0. Normal Oyun";57;100;0;0;False;Normal;Normal
"0. Normal Oyun";58;100;0;0;False;Normal;Normal
"0. Normal Oyun";59;100;20;0;False;Normal;Normal
"0. Normal Oyun";60;100;0;0;False;Normal;Normal
"0. Normal Oyun";61;100;0;0;False;Normal;Normal
"0. Normal Oyun";62;100;790;0;True;MegaWin;Bonus
"0. Normal Oyun";63;100;0;0;False;Normal;Normal
"0. Normal Oyun";64;100;0;0;False;Normal;Normal
"0. Normal Oyun";65;100;0;0;False;Normal;Normal
"0. Normal Oyun";66;100;120;0;False;Normal;Normal
"0. Normal Oyun";67;100;100;0;False;Normal;Normal
"0. Normal Oyun";68;100;20;0;False;Normal;Normal
"0. Normal Oyun";69;100;0;0;False;Normal;Normal
"0. Normal Oyun";70;100;500;5;False;MegaWin;Normal
"0. Normal Oyun";71;100;0;0;False;Normal;Normal
"0. Normal Oyun";72;100;0;0;False;Normal;Normal
"0. Normal Oyun";73;100;0;0;False;Normal;Normal
"0. Normal Oyun";74;100;150;0;False;Normal;Normal
"0. Normal Oyun";75;100;30;0;False;Normal;Normal
"0. Normal Oyun";76;100;0;0;False;Normal;Normal
"0. Normal Oyun";77;100;270;3;False;BigWin;Normal
"0. Normal Oyun";78;100;0;0;False;Normal;Normal
"0. Normal Oyun";79;100;0;0;False;Normal;Normal
"0. Normal Oyun";80;100;0;0;False;Normal;Normal
"0. Normal Oyun";81;100;0;0;False;Normal;Normal
"0. Normal Oyun";82;100;0;0;False;Normal;Normal
"0. Normal Oyun";83;100;0;0;False;Normal;Normal
"0. Normal Oyun";84;100;0;0;False;Normal;Normal
"0. Normal Oyun";85;100;0;0;False;Normal;Normal
"0. Normal Oyun";86;100;0;0;False;Normal;Normal
"0. Normal Oyun";87;100;100;2;False;Normal;Normal
"0. Normal Oyun";88;100;0;0;False;Normal;Normal
"0. Normal Oyun";89;100;540;5;False;MegaWin;Normal
"0. Normal Oyun";90;100;80;0;False;Normal;Normal
"0. Normal Oyun";91;100;0;0;False;Normal;Normal
"0. Normal Oyun";92;100;480;3;False;BigWin;Normal
"0. Normal Oyun";93;100;0;0;False;Normal;Normal
"0. Normal Oyun";94;100;0;0;False;Normal;Normal
"0. Normal Oyun";95;100;0;0;False;Normal;Normal
"0. Normal Oyun";96;100;120;0;False;Normal;Normal
"0. Normal Oyun";97;100;0;0;False;Normal;Normal
"0. Normal Oyun";98;100;0;0;False;Normal;Normal
"0. Normal Oyun";99;100;30;0;False;Normal;Normal
"0. Normal Oyun";100;100;0;0;False;Normal;Normal
"0. Normal Oyun";101;100;90;0;False;Normal;Normal
"0. Normal Oyun";102;100;960;8;False;MegaWin;Normal
"0. Normal Oyun";103;100;0;0;False;Normal;Normal
"0. Normal Oyun";104;100;0;0;False;Normal;Normal
"0. Normal Oyun";105;100;0;0;False;Normal;Normal
"0. Normal Oyun";106;100;110;0;False;Normal;Normal
"0. Normal Oyun";107;100;120;0;False;Normal;Normal
"0. Normal Oyun";108;100;0;0;False;Normal;Normal
"0. Normal Oyun";109;100;80;0;False;Normal;Normal
"0. Normal Oyun";110;100;50;0;False;Normal;Normal
"0. Normal Oyun";111;100;0;0;False;Normal;Normal
"0. Normal Oyun";112;100;40;0;False;Normal;Normal
"0. Normal Oyun";113;100;0;0;False;Normal;Normal
"0. Normal Oyun";114;100;30;0;False;Normal;Normal
"0. Normal Oyun";115;100;0;0;False;Normal;Normal
"0. Normal Oyun";116;100;50;0;False;Normal;Normal
"0. Normal Oyun";117;100;300;5;False;BigWin;Normal
"0. Normal Oyun";118;100;160;2;False;Normal;Normal
"0. Normal Oyun";119;100;0;0;False;Normal;Normal
"0. Normal Oyun";120;100;20;0;False;Normal;Normal
"0. Normal Oyun";121;100;150;5;False;Normal;Normal
"0. Normal Oyun";122;100;0;0;False;Normal;Normal
"0. Normal Oyun";123;100;0;0;False;Normal;Normal
"0. Normal Oyun";124;100;0;0;False;Normal;Normal
"0. Normal Oyun";125;100;0;0;False;Normal;Normal
"0. Normal Oyun";126;100;1800;10;False;EpicWin;Normal
"0. Normal Oyun";127;100;0;0;False;Normal;Normal
"0. Normal Oyun";128;100;0;0;False;Normal;Normal
"0. Normal Oyun";129;100;40;0;False;Normal;Normal
"0. Normal Oyun";130;100;0;0;False;Normal;Normal
"0. Normal Oyun";131;100;20;0;False;Normal;Normal
"0. Normal Oyun";132;100;0;0;False;Normal;Normal
"0. Normal Oyun";133;100;10080;8;False;EpicWin;Normal
"0. Normal Oyun";134;100;0;0;False;Normal;Normal
"0. Normal Oyun";135;100;80;0;False;Normal;Normal
"0. Normal Oyun";136;100;0;0;False;Normal;Normal
"0. Normal Oyun";137;100;0;0;False;Normal;Normal
"0. Normal Oyun";138;100;0;0;False;Normal;Normal
"0. Normal Oyun";139;100;40;0;False;Normal;Normal
"0. Normal Oyun";140;100;1800;10;False;EpicWin;Normal
"0. Normal Oyun";141;100;0;0;False;Normal;Normal
"0. Normal Oyun";142;100;0;0;False;Normal;Normal
"0. Normal Oyun";143;100;420;3;False;BigWin;Normal
"0. Normal Oyun";144;100;40;0;False;Normal;Normal
"0. Normal Oyun";145;100;100;0;False;Normal;Normal
"0. Normal Oyun";146;100;1000;10;False;MegaWin;Normal
"0. Normal Oyun";147;100;0;0;False;Normal;Normal
"0. Normal Oyun";148;100;920;10;False;MegaWin;Normal
"0. Normal Oyun";149;100;0;0;False;Normal;Normal
"0. Normal Oyun";150;100;0;0;False;Normal;Normal
"0. Normal Oyun";151;100;30;0;False;Normal;Normal
"0. Normal Oyun";152;100;250;5;False;BigWin;Normal
"0. Normal Oyun";153;100;0;0;False;Normal;Normal
"0. Normal Oyun";154;100;0;0;False;Normal;Normal
"0. Normal Oyun";155;100;900;5;False;MegaWin;Normal
"0. Normal Oyun";156;100;360;10;False;BigWin;Normal
"0. Normal Oyun";157;100;0;0;False;Normal;Normal
"0. Normal Oyun";158;100;20;0;False;Normal;Normal
"0. Normal Oyun";159;100;0;0;False;Normal;Normal
"0. Normal Oyun";160;100;20;0;False;Normal;Normal
"0. Normal Oyun";161;100;20;0;False;Normal;Normal
"0. Normal Oyun";162;100;0;0;False;Normal;Normal
"0. Normal Oyun";163;100;0;0;False;Normal;Normal
"0. Normal Oyun";164;100;0;0;False;Normal;Normal
"0. Normal Oyun";165;100;0;0;False;Normal;Normal
"0. Normal Oyun";166;100;0;0;False;Normal;Normal
"0. Normal Oyun";167;100;80;0;False;Normal;Normal
"0. Normal Oyun";168;100;0;0;False;Normal;Normal
"0. Normal Oyun";169;100;0;0;False;Normal;Normal
"0. Normal Oyun";170;100;260;0;False;BigWin;Normal
"0. Normal Oyun";171;100;0;0;False;Normal;Normal
"0. Normal Oyun";172;100;0;0;False;Normal;Normal
"0. Normal Oyun";173;100;0;0;False;Normal;Normal
"0. Normal Oyun";174;100;0;0;False;Normal;Normal
